requirement,status,units,code,verifications,delegatedTo,provenance
REQ-EMG-032,implemented,FU-MODEL-CHANGE FU-VALIDATION-ENGINE,requirements_delta.go:77 requirements_delta.go:510 requirements_delta.go:424 cmd/engchange/main.go:16 requirements_delta.go:188 requirements_delta.go:114 requirements_delta.go:62 cmd/engchange/main.go:68 requirements_delta.go:528 requirements_delta.go:406 requirements_delta.go:386 requirements_delta_test.go:314 requirements_delta_test.go:281 requirements_delta_test.go:222 requirements_delta_test.go:15 requirements_delta_test.go:263 requirements_delta.go:347 requirements_delta_test.go:369,VER-INF-TEST-REQUIREMENTS_DELTA_TEST-64E119,,
REQ-EMG-033,implemented,FU-CLI-ORCHESTRATION FU-MODEL-CHANGE FU-VALIDATION-ENGINE,requirements_delta.go:609 requirements_delta.go:77 requirements_delta.go:469 cmd/engchange/main.go:16 requirements_delta.go:434 requirements_delta.go:584 requirements_delta_test.go:314 requirements_delta_test.go:281 requirements_delta_test.go:135 requirements_delta_test.go:112 requirements_delta_test.go:200 requirements_delta_test.go:155 requirements_delta_test.go:222 requirements_delta_test.go:15 requirements_delta_test.go:179 requirements_delta.go:633 requirements_delta_test.go:476 requirements_delta_test.go:369,VER-INF-TEST-REQUIREMENTS_DELTA_TEST-64E119,,
REQ-EMG-034,implemented,FU-CLI-ORCHESTRATION FU-MODEL-CHANGE,requirements_delta.go:564 requirements_delta.go:573,,,
REQ-EMG-035,implemented,FU-MODEL-LOADER FU-SYSML-EXPORTER FU-VALIDATION-ENGINE,model/schema_test.go:163 model/semantic.go:1547 view/project.go:38 validate/validate.go:284 schema_v2_projection_test.go:280 model/projection.go:16 model/semantic.go:1573 model/semantic.go:1584 model/schema.go:56 model/schema.go:74 model/schema_test.go:154 model/semantic.go:1457 model/projection.go:93 model/projection.go:79 model/projection.go:115 generate.go:39 asciidoc.go:53 gemara_export.go:102 gemara_evaluation.go:67 gemara_oscal.go:110 gemara_oscal.go:48 lobster_export.go:70 oscal_ar.go:133 oscal_poam.go:90 oscal_ssp.go:211 structurizr_export.go:143 sysml_export.go:141 sysml_export.go:42 threat_model_export.go:49 trlc_export.go:76 model/semantic_test.go:352 model/semantic_test.go:362 model/projection.go:100 model/semantic.go:1690 model/semantic.go:1340 model/projection.go:26 model/schema.go:108 mcp/server.go:339 schema_v2_projection_test.go:238 model/projection.go:39 model/projection.go:64 model/semantic.go:1434 model/semantic.go:323 model/semantic.go:1561 composition.go:173 model/projection.go:86 model/semantic.go:1519 model/semantic.go:1361 model/semantic.go:1463 model/semantic.go:1514 model/semantic.go:1351 model/semantic.go:1508 model/semantic.go:1448 model/projection.go:127 model/load_test.go:305 model/load_test.go:237 validate/validate_test.go:37 model/schema_test.go:61 model/schema_test.go:130 model/schema_test.go:92 model/schema_test.go:79 sysml_export_test.go:131 sysml_export_test.go:76 model/projection_test.go:10 model/projection_test.go:37 model/semantic_test.go:265 model/semantic_test.go:194 model/semantic_test.go:49 model/semantic_test.go:77 model/semantic_test.go:126 model/semantic_test.go:11 schema_v2_projection_test.go:23 model/semantic_test.go:311 model/semantic_test.go:100 model/semantic_test.go:240 model/schema.go:32 model/semantic.go:1261 model/semantic.go:1241 model/semantic.go:855 model/semantic.go:1294 model/semantic.go:1680 model/semantic.go:1670 model/semantic.go:1600 model/semantic.go:1660 model/semantic.go:1632 sysml_export.go:324 sysml_export.go:393 sysml_export.go:380 sysml_export.go:439 sysml_export.go:316,VER-INF-TEST-LOAD_TEST-A58EB3 VER-INF-TEST-PROJECTION_TEST-D8D752 VER-INF-TEST-SCHEMA_TEST-AB1606 VER-INF-TEST-SCHEMA_V2_PROJECTION_TEST-81EEBD VER-INF-TEST-SEMANTIC_TEST-CB8EF3 VER-INF-TEST-SYSML_EXPORT_TEST-8BDA4E VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-036,implemented,FU-CLI-ORCHESTRATION FU-SYSML-EXPORTER FU-VALIDATION-ENGINE,sysml_interchange.go:318 view/project.go:38 validate/validate.go:284 model/projection.go:16 model/semantic.go:1584 sysml_interchange.go:211 sysml_export.go:263 model/semantic.go:1457 model/projection.go:93 model/projection.go:79 model/projection.go:115 sysml_interchange.go:41 generate.go:39 asciidoc.go:53 gemara_export.go:102 gemara_evaluation.go:67 gemara_oscal.go:110 gemara_oscal.go:48 lobster_export.go:70 oscal_ar.go:133 oscal_poam.go:90 oscal_ssp.go:211 structurizr_export.go:143 sysml_export.go:141 sysml_export.go:42 sysml_export.go:173 threat_model_export.go:49 trlc_export.go:76 model/semantic_test.go:352 model/projection.go:100 sysml_export_test.go:203 sysml_interchange.go:152 model/semantic.go:1340 sysml_export.go:884 model/projection.go:26 mcp/server.go:339 cmd/engsysml/main.go:18 schema_v2_projection_test.go:238 sysml_export.go:713 model/projection.go:39 model/projection.go:64 sysml_interchange.go:259 model/semantic.go:1434 cmd/engsysml/main.go:138 model/semantic.go:1561 sysml_interchange.go:328 sysml_interchange.go:93 sysml_interchange.go:346 sysml_interchange.go:364 composition.go:173 cmd/engsysml/main.go:23 sysml_interchange.go:387 model/projection.go:86 sysml_export.go:911 sysml_interchange.go:299 model/semantic.go:1514 model/semantic.go:1448 sysml_interchange.go:308 model/projection.go:127 sysml_export.go:921 sysml_export.go:464 sysml_export.go:900 sysml_interchange.go:398 sysml_export.go:905 sysml_export.go:482 model/load_test.go:305 model/load_test.go:237 validate/validate_test.go:37 sysml_interchange_test.go:33 sysml_interchange_test.go:84 sysml_export_test.go:35 sysml_export_test.go:131 sysml_export_test.go:76 sysml_export_test.go:59 model/projection_test.go:10 model/projection_test.go:37 model/semantic_test.go:265 model/semantic_test.go:194 model/semantic_test.go:126 cmd/engsysml/main_test.go:17 cmd/engsysml/main_test.go:54 cmd/engsysml/main_test.go:69 schema_v2_projection_test.go:23 sysml_export_test.go:13 sysml_interchange_test.go:15 model/semantic_test.go:311 model/semantic_test.go:100 model/semantic_test.go:240 model/semantic.go:1261 model/semantic.go:1241 model/semantic.go:855 model/semantic.go:1294 model/semantic.go:1680 model/semantic.go:1670 model/semantic.go:1600 model/semantic.go:1660 model/semantic.go:1632 sysml_interchange.go:132 sysml_export.go:295 sysml_export.go:324 sysml_export.go:308 sysml_export.go:372 sysml_export.go:393 sysml_export.go:380 sysml_export.go:439 sysml_export.go:316 cmd/engsysml/main.go:125 sysml_export.go:502,VER-INF-TEST-LOAD_TEST-A58EB3 VER-INF-TEST-MAIN_TEST-AAEB3C VER-INF-TEST-PROJECTION_TEST-D8D752 VER-INF-TEST-SCHEMA_V2_PROJECTION_TEST-81EEBD VER-INF-TEST-SEMANTIC_TEST-CB8EF3 VER-INF-TEST-SYSML_EXPORT_TEST-8BDA4E VER-INF-TEST-SYSML_INTERCHANGE_TEST-CF2F5A VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-037,implemented,FU-CLI-ORCHESTRATION FU-SYSML-EXPORTER FU-VALIDATION-ENGINE,sysml_interchange.go:318 validate/validate.go:284 sysml_interchange.go:211 sysml_interchange.go:41 sysml_export.go:42 sysml_interchange.go:152 cmd/engsysml/main.go:18 schema_v2_projection_test.go:238 sysml_interchange.go:259 sysml_interchange.go:328 sysml_interchange.go:93 sysml_interchange.go:346 sysml_interchange.go:364 cmd/engsysml/main.go:23 sysml_interchange.go:387 sysml_interchange.go:299 sysml_interchange.go:308 sysml_interchange.go:398 validate/validate_test.go:37 sysml_interchange_test.go:33 sysml_interchange_test.go:84 cmd/engsysml/main_test.go:17 schema_v2_projection_test.go:23 sysml_interchange_test.go:15 model/semantic_test.go:100 model/semantic.go:855 sysml_interchange.go:132,VER-INF-TEST-MAIN_TEST-AAEB3C VER-INF-TEST-SCHEMA_V2_PROJECTION_TEST-81EEBD VER-INF-TEST-SEMANTIC_TEST-CB8EF3 VER-INF-TEST-SYSML_INTERCHANGE_TEST-CF2F5A VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-038,implemented,FU-MODEL-LOADER FU-SYSML-EXPORTER FU-VALIDATION-ENGINE,model/metamodel_instance.go:233 internal/sysmlmetamodel/metamodel.go:1025 internal/sysmlmetamodel/metamodel.go:393 internal/sysmlmetamodel/metamodel.go:226 internal/sysmlmetamodel/metamodel.go:421 internal/sysmlmetamodel/metamodel.go:676 model/semantic.go:1421 internal/sysmlmetamodel/metamodel.go:836 internal/sysmlmetamodel/metamodel.go:815 internal/sysmlmetamodel/metamodel.go:634 internal/sysmlmetamodel/metamodel.go:699 internal/sysmlmetamodel/metamodel.go:611 internal/sysmlmetamodel/metamodel.go:1017 internal/sysmlmetamodel/metamodel_test.go:135 internal/sysmlmetamodel/metamodel_test.go:147 internal/sysmlmetamodel/metamodel_test.go:117 model/metamodel_instance_test.go:262 internal/sysmlmetamodel/metamodel.go:1004 cmd/sysmlmetamodel/main.go:177 internal/sysmlmetamodel/metamodel.go:560 internal/sysmlmetamodel/metamodel.go:495 internal/sysmlmetamodel/metamodel.go:1046 internal/sysmlmetamodel/metamodel.go:706 internal/sysmlmetamodel/metamodel.go:1034 internal/sysmlmetamodel/metamodel.go:778 internal/sysmlmetamodel/metamodel.go:794 model/semantic.go:1651 internal/sysmlmetamodel/metamodel.go:380 internal/sysmlmetamodel/metamodel.go:364 internal/sysmlmetamodel/metamodel.go:200 cmd/sysmlmetamodel/main.go:17 internal/sysmlmetamodel/metamodel.go:355 model/semantic.go:200 model/semantic.go:154 model/metamodel_instance.go:133 model/metamodel_instance.go:128 model/metamodel_instance.go:195 model/metamodel_instance.go:203 internal/sysmlmetamodel/metamodel.go:923 model/metamodel_instance.go:220 model/metamodel_instance.go:10 model/metamodel_instance.go:24 internal/sysmlmetamodel/metamodel.go:1012 internal/sysmlmetamodel/metamodel.go:688 model/metamodel_instance.go:260 internal/sysmlmetamodel/metamodel.go:747 internal/sysmlmetamodel/metamodel.go:982 internal/sysmlmetamodel/metamodel.go:971 internal/sysmlmetamodel/metamodel.go:953 cmd/sysmlmetamodel/main.go:35 internal/sysmlmetamodel/metamodel.go:852 internal/sysmlmetamodel/metamodel.go:912 model/metamodel_instance.go:255 internal/sysmlmetamodel/metamodel_test.go:33 model/metamodel_instance_test.go:148 internal/sysmlmetamodel/metamodel_test.go:76 model/metamodel_instance_test.go:197 model/metamodel_instance_test.go:40 model/metamodel_instance_test.go:113 model/metamodel_instance_test.go:15 model/metamodel_instance_test.go:74 internal/sysmlmetamodel/metamodel_test.go:68 model/semantic.go:1372 model/metamodel_instance.go:56 model/metamodel_instance.go:150 internal/sysmlmetamodel/metamodel.go:216,VER-INF-TEST-METAMODEL_INSTANCE_TEST-33196D VER-INF-TEST-METAMODEL_TEST-81AF9A,,
REQ-EMG-039,implemented,FU-CLI-ORCHESTRATION FU-SYSML-EXPORTER FU-VALIDATION-ENGINE,model/metamodel_instance.go:233 sysml_coverage.go:316 internal/sysmlmetamodel/metamodel.go:1025 internal/sysmlmetamodel/metamodel.go:393 internal/sysmlmetamodel/metamodel.go:226 internal/sysmlmetamodel/metamodel.go:421 internal/sysmlmetamodel/metamodel.go:676 sysml_coverage_test.go:40 model/semantic.go:1421 internal/sysmlmetamodel/metamodel.go:836 internal/sysmlmetamodel/metamodel.go:815 internal/sysmlmetamodel/metamodel.go:634 internal/sysmlmetamodel/metamodel.go:699 sysml_export.go:839 sysml_export.go:867 internal/sysmlmetamodel/metamodel.go:611 sysml_coverage.go:331 internal/sysmlmetamodel/metamodel.go:1017 internal/sysmlmetamodel/metamodel_test.go:135 internal/sysmlmetamodel/metamodel_test.go:147 internal/sysmlmetamodel/metamodel_test.go:117 model/metamodel_instance_test.go:262 internal/sysmlmetamodel/metamodel.go:1004 cmd/sysmlmetamodel/main.go:177 internal/sysmlmetamodel/metamodel.go:560 internal/sysmlmetamodel/metamodel.go:495 internal/sysmlmetamodel/metamodel.go:1046 internal/sysmlmetamodel/metamodel.go:706 internal/sysmlmetamodel/metamodel.go:1034 sysml_export.go:875 internal/sysmlmetamodel/metamodel.go:778 sysml_export.go:700 internal/sysmlmetamodel/metamodel.go:794 model/semantic.go:1651 internal/sysmlmetamodel/metamodel.go:380 internal/sysmlmetamodel/metamodel.go:364 internal/sysmlmetamodel/metamodel.go:200 cmd/sysmlmetamodel/main.go:17 internal/sysmlmetamodel/metamodel.go:355 model/semantic.go:200 model/semantic.go:154 model/metamodel_instance.go:133 model/metamodel_instance.go:128 model/metamodel_instance.go:195 sysml_export.go:768 sysml_export.go:808 model/metamodel_instance.go:203 internal/sysmlmetamodel/metamodel.go:923 model/metamodel_instance.go:220 model/metamodel_instance.go:10 model/metamodel_instance.go:24 internal/sysmlmetamodel/metamodel.go:1012 internal/sysmlmetamodel/metamodel.go:688 model/metamodel_instance.go:260 internal/sysmlmetamodel/metamodel.go:747 sysml_export.go:624 internal/sysmlmetamodel/metamodel.go:982 internal/sysmlmetamodel/metamodel.go:971 internal/sysmlmetamodel/metamodel.go:953 cmd/sysmlmetamodel/main.go:35 internal/sysmlmetamodel/metamodel.go:852 internal/sysmlmetamodel/metamodel.go:912 sysml_coverage_test.go:54 sysml_coverage.go:348 model/metamodel_instance.go:255 sysml_export.go:632 sysml_coverage.go:107 internal/sysmlmetamodel/metamodel_test.go:33 model/metamodel_instance_test.go:148 internal/sysmlmetamodel/metamodel_test.go:76 internal/sysmlmetamodel/metamodel_test.go:101 model/metamodel_instance_test.go:197 model/metamodel_instance_test.go:40 model/metamodel_instance_test.go:113 model/metamodel_instance_test.go:15 model/metamodel_instance_test.go:74 cmd/engsysml/main_test.go:33 sysml_export_test.go:182 sysml_coverage_test.go:11 internal/sysmlmetamodel/metamodel_test.go:68 model/semantic.go:1372 sysml_coverage.go:277 model/metamodel_instance.go:56 sysml_coverage.go:290 sysml_coverage.go:303 sysml_coverage.go:219 model/metamodel_instance.go:150 internal/sysmlmetamodel/metamodel.go:216 sysml_export.go:781 sysml_export.go:585 sysml_export.go:818 sysml_export.go:607,VER-INF-TEST-MAIN_TEST-AAEB3C VER-INF-TEST-METAMODEL_INSTANCE_TEST-33196D VER-INF-TEST-METAMODEL_TEST-81AF9A VER-INF-TEST-SYSML_COVERAGE_TEST-9C7166 VER-INF-TEST-SYSML_EXPORT_TEST-8BDA4E,,
REQ-EMG-040,implemented,FU-CLI-ORCHESTRATION FU-SYSML-EXPORTER FU-VALIDATION-ENGINE,sysml_interchange.go:281 sysml_coverage_test.go:40 sysml_coverage.go:331 model/metamodel_instance.go:38 model/semantic.go:154 sysml_coverage_test.go:54 sysml_coverage.go:107 sysml_interchange_test.go:61 model/metamodel_instance_test.go:223 model/metamodel_instance_test.go:197 cmd/engsysml/main_test.go:33 sysml_export_test.go:182 sysml_coverage_test.go:11 model/semantic.go:1389 model/semantic.go:1372 model/semantic.go:169 model/metamodel_instance.go:111 model/metamodel_instance.go:56 sysml_coverage.go:219 model/metamodel_instance.go:150 sysml_export.go:585,VER-INF-TEST-MAIN_TEST-AAEB3C VER-INF-TEST-METAMODEL_INSTANCE_TEST-33196D VER-INF-TEST-SYSML_COVERAGE_TEST-9C7166 VER-INF-TEST-SYSML_EXPORT_TEST-8BDA4E VER-INF-TEST-SYSML_INTERCHANGE_TEST-CF2F5A,,
REQ-EMG-041,implemented,FU-MODEL-LOADER FU-NAF-EXPORTER FU-VALIDATION-ENGINE,validate/validate.go:284 model/types.go:755 naf_export.go:34 naf_export.go:24 model/types.go:769 model/types.go:778 model/types.go:744 model/types.go:762 model/naf.go:11 model/naf.go:63 model/schema_test.go:15 naf_export_test.go:14 naf_export_test.go:42 validate/validate.go:1192,VER-INF-TEST-NAF_EXPORT_TEST-26D0A4 VER-INF-TEST-SCHEMA_TEST-AB1606,,
REQ-EMG-042,implemented,FU-CLI-ORCHESTRATION FU-NAF-EXPORTER FU-VIEW-PROJECTION,naf_export.go:161 naf_export.go:34 naf_export.go:24 cmd/engnaf/main.go:16 model/types.go:778 naf_export.go:77 cmd/engnaf/main.go:21 naf_export_test.go:14 cmd/engnaf/main_test.go:13 cmd/engnaf/main_test.go:25,VER-INF-TEST-MAIN_TEST-C71B6B VER-INF-TEST-NAF_EXPORT_TEST-26D0A4,,
REQ-EMG-043,implemented,FU-CLI-ORCHESTRATION FU-NAF-EXPORTER FU-VALIDATION-ENGINE,validate/validate.go:284 naf_export.go:34 naf_export.go:24 cmd/engnaf/main.go:16 model/naf.go:11 model/naf.go:63 cmd/engnaf/main.go:21 model/schema_test.go:15 naf_export_test.go:69 cmd/engnaf/main_test.go:13 validate/validate.go:1192,VER-INF-TEST-MAIN_TEST-C71B6B VER-INF-TEST-NAF_EXPORT_TEST-26D0A4 VER-INF-TEST-SCHEMA_TEST-AB1606,,
REQ-EMG-044,implemented,FU-CLI-ORCHESTRATION FU-MODEL-LOADER FU-VALIDATION-ENGINE,model/types.go:617 model/types.go:653 model/types.go:632 model/authoring.go:52 model/types.go:660 model/authoring.go:114 model/types.go:701 model/types.go:727 model/types.go:118 model/types.go:718 model/load.go:34 model/load.go:43 model/projection.go:26 mcp/server.go:339 model/load.go:229 model/load.go:211 model/types.go:164 model/types.go:132 model/load_test.go:226 model/load.go:18 validate/validate_test.go:294 model/schema_test.go:41 model/load_test.go:371 model/load_test.go:37 model/load_test.go:73 model/load_test.go:110 model/load_test.go:95 model/load_test.go:86 model/types.go:667 model/load_test.go:215 model/load_test.go:190,VER-INF-TEST-LOAD_TEST-A58EB3 VER-INF-TEST-SCHEMA_TEST-AB1606 VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-045,implemented,FU-MCP-SERVER FU-MODEL-LOADER,model/authoring.go:52 mcp/server.go:433 model/authoring.go:114 mcp/server.go:139 model/load_test.go:151 mcp/server_test.go:102 model/authoring.go:119,VER-INF-TEST-LOAD_TEST-A58EB3 VER-INF-TEST-SERVER_TEST-389957,,
REQ-EMG-046,implemented,FU-CLI-ORCHESTRATION FU-MODEL-LOADER FU-VALIDATION-ENGINE,model/types.go:617 model/types.go:653 model/types.go:632 model/types.go:660 model/types.go:701 model/types.go:727 model/types.go:118 model/types.go:718 model/load.go:34 model/load.go:43 model/projection.go:26 model/load.go:229 model/load.go:211 model/types.go:164 model/load_test.go:226 model/load.go:18 schema_v2_fixture_test.go:6 validate/validate_test.go:785 schema_v2_fixture_test.go:44 schema_v2_fixture_test.go:38 validate/validate_test.go:294 validate/validate_test.go:12 model/schema_test.go:105 model/schema_test.go:41 model/load_test.go:371 model/load_test.go:37 model/load_test.go:73 model/load_test.go:110 model/load_test.go:95 model/load_test.go:86 model/load_test.go:126 model/types.go:667 model/load_test.go:215 model/load_test.go:190,VER-INF-TEST-LOAD_TEST-A58EB3 VER-INF-TEST-SCHEMA_TEST-AB1606 VER-INF-TEST-SCHEMA_V2_FIXTURE_TEST-1B8AD1 VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-047,implemented,FU-MODEL-LOADER FU-SYSTEM-COMPOSITION,model/load.go:198 composition_test.go:354 composition_test.go:344 model/authoring.go:52 sysml_export.go:263 composition.go:66 composition.go:575 composition.go:313 composition.go:112 sysml_export.go:42 composition.go:50 model/types.go:143 model/types.go:164 model/types.go:152 composition.go:386 model/types.go:132 model/subsystem.go:16 composition.go:560 model/workspace.go:91 composition.go:269 composition.go:173 composition.go:406 model/types.go:856 composition_oci_test.go:17 composition_test.go:16 composition_test.go:206 mcp/server_test.go:102 sysml_export_test.go:13 composition.go:423 sysml_export.go:295 composition.go:153 composition_test.go:333 mcp/composition_test.go:54 mcp/composition_test.go:120 mcp/composition_test.go:88 composition_oci_test.go:147 composition_oci_test.go:153 composition_test.go:259 composition_test.go:292 composition_test.go:298,VER-INF-TEST-COMPOSITION_OCI_TEST-D86C11 VER-INF-TEST-COMPOSITION_TEST-8FE8F1 VER-INF-TEST-COMPOSITION_TEST-AB66B8 VER-INF-TEST-SERVER_TEST-389957 VER-INF-TEST-SYSML_EXPORT_TEST-8BDA4E,,
REQ-EMG-048,implemented,FU-MODEL-LOADER FU-SYSTEM-COMPOSITION,composition_test.go:354 composition_test.go:344 model/authoring.go:52 composition.go:66 composition.go:575 model/workspace.go:53 composition.go:112 model/workspace.go:19 model/workspace.go:91 model/workspace.go:79 composition.go:269 composition.go:173 composition_test.go:16 composition_oci_test.go:57 mcp/server_test.go:102 composition.go:153 composition_test.go:333 mcp/composition_test.go:54 mcp/composition_test.go:120 mcp/composition_test.go:88 composition_oci_test.go:147 composition_oci_test.go:153 composition_test.go:259 composition_test.go:292 composition_test.go:298,VER-INF-TEST-COMPOSITION_OCI_TEST-D86C11 VER-INF-TEST-COMPOSITION_TEST-8FE8F1 VER-INF-TEST-COMPOSITION_TEST-AB66B8 VER-INF-TEST-SERVER_TEST-389957,,
REQ-EMG-049,implemented,FU-CLI-ORCHESTRATION FU-SYSTEM-COMPOSITION FU-VALIDATION-ENGINE,model/load.go:198 model/types.go:883 composition_test.go:354 composition_test.go:344 model/authoring.go:52 validate/validate.go:284 composition.go:528 composition.go:66 composition.go:612 composition.go:575 composition.go:499 composition.go:112 composition.go:622 composition.go:50 composition.go:851 model/load.go:43 model/workspace.go:19 model/types.go:143 model/types.go:164 model/types.go:152 composition.go:386 model/subsystem.go:16 model/subsystem.go:47 composition.go:392 composition.go:458 composition.go:560 composition.go:769 model/subsystem.go:32 model/workspace.go:91 composition.go:269 composition.go:173 model/types.go:894 model/types.go:856 composition_oci_test.go:89 composition_oci_test.go:139 composition_test.go:224 composition_test.go:110 composition_test.go:77 composition_oci_test.go:112 composition_oci_test.go:17 composition_test.go:16 composition_oci_test.go:57 composition_test.go:142 composition_test.go:206 composition_test.go:191 composition.go:423 composition.go:468 composition.go:781 composition.go:153 composition_test.go:333 mcp/composition_test.go:54 mcp/composition_test.go:120 mcp/composition_test.go:88 composition_test.go:259 composition_test.go:292 composition_test.go:298,VER-INF-TEST-COMPOSITION_OCI_TEST-D86C11 VER-INF-TEST-COMPOSITION_TEST-8FE8F1 VER-INF-TEST-COMPOSITION_TEST-AB66B8,,
REQ-EMG-050,implemented,FU-ASCIIDOC-GENERATOR FU-GEMARA-EXPORTER FU-OSCAL-EXPORTER FU-SYSML-EXPORTER FU-SYSTEM-COMPOSITION FU-VALIDATION-ENGINE,trace_matrix.go:495 composition_projection.go:49 trace_matrix.go:443 sysml_export.go:263 composition_projection.go:41 composition_projection.go:124 composition_projection.go:249 composition_projection.go:114 sysml_export.go:77 composition_projection.go:171 structurizr_export.go:148 sysml_export.go:42 threat_model_export.go:54 composition_projection.go:435 structurizr_export.go:293 composition_projection.go:135 asciidoc_composition.go:165 composition_projection.go:419 composition_projection.go:29 composition_projection.go:17 sysml_export.go:114 composition_projection.go:208 composition_projection.go:235 asciidoc_composition.go:21 asciidoc_composition.go:122 composition_projection.go:99 oscal_ssp.go:61 examples_company_test.go:19 composition_projection_test.go:51 composition_projection_test.go:13 oscal_chain_test.go:32 oscal_chain_test.go:54 oscal_chain_test.go:75 oscal_ssp_test.go:16 sysml_export_test.go:13 trace_matrix.go:50 sysml_export.go:295,VER-INF-TEST-COMPOSITION_PROJECTION_TEST-71E4C3 VER-INF-TEST-EXAMPLES_COMPANY_TEST-A50783 VER-INF-TEST-OSCAL_CHAIN_TEST-C12EF9 VER-INF-TEST-OSCAL_SSP_TEST-4B08EF VER-INF-TEST-SYSML_EXPORT_TEST-8BDA4E,,
REQ-EMG-051,implemented,FU-CLI-ORCHESTRATION FU-MODEL-LOADER FU-SYSTEM-COMPOSITION FU-VALIDATION-ENGINE,model/load.go:198 model/types.go:883 trace_matrix.go:495 composition_test.go:354 composition_test.go:344 composition_projection.go:49 trace_matrix.go:443 composition.go:528 composition.go:66 composition_projection.go:41 composition.go:612 composition_projection.go:124 composition.go:499 composition_projection.go:249 composition_projection.go:114 sysml_export.go:77 composition_projection.go:171 composition.go:112 structurizr_export.go:148 threat_model_export.go:54 composition.go:50 composition.go:851 model/load.go:43 model/types.go:143 model/types.go:164 model/types.go:152 model/subsystem.go:47 composition_projection.go:435 structurizr_export.go:293 composition_projection.go:135 asciidoc_composition.go:165 composition_projection.go:419 composition.go:458 composition.go:560 composition.go:769 composition_projection.go:29 composition_projection.go:17 sysml_export.go:114 composition_projection.go:208 composition_projection.go:235 model/subsystem.go:32 asciidoc_composition.go:21 asciidoc_composition.go:122 composition_projection.go:99 composition.go:173 model/types.go:894 model/types.go:856 composition_projection_test.go:51 composition_projection_test.go:13 composition_test.go:224 composition_test.go:110 composition_test.go:77 composition_test.go:16 composition_test.go:142 model/load_test.go:37 gemara_oscal_test.go:69 composition_test.go:191 trace_matrix.go:50 composition.go:423 composition.go:468 composition.go:781 composition.go:153 composition_test.go:333 mcp/composition_test.go:54 mcp/composition_test.go:120 mcp/composition_test.go:88 composition_test.go:259 composition_test.go:292 model/load_test.go:190 composition_test.go:298,VER-INF-TEST-COMPOSITION_PROJECTION_TEST-71E4C3 VER-INF-TEST-COMPOSITION_TEST-8FE8F1 VER-INF-TEST-COMPOSITION_TEST-AB66B8 VER-INF-TEST-GEMARA_OSCAL_TEST-58DBDA VER-INF-TEST-LOAD_TEST-A58EB3,,
REQ-EMG-052,implemented,FU-CLI-ORCHESTRATION FU-MODEL-LOADER FU-SYSML-EXPORTER FU-VIEW-PROJECTION,view/semantic_concerns.go:41 render/svg/render.go:107 render/mermaid/render.go:228 coffee_six_view_test.go:85 render/mermaid/render.go:306 view/semantic_concerns.go:254 view/semantic_concerns.go:23 view/semantic_concerns.go:13 render/mermaid/render.go:39 render/svg/render.go:25 render/mermaid/render.go:132 render/mermaid/render.go:169 render/mermaid/render.go:178 render/mermaid/render.go:149 render/mermaid/render.go:158 render/mermaid/render.go:102 render/mermaid/render.go:78 view/semantic_concerns.go:140 view/semantic_concerns.go:162 view/semantic_concerns.go:196 render/mermaid/render.go:207 render/mermaid/render.go:195 view/semantic_concerns.go:237 render/svg/render.go:91 model/schema_test.go:105 coffee_six_view_test.go:95 coffee_six_view_test.go:16 model/load_test.go:371,VER-INF-TEST-COFFEE_SIX_VIEW_TEST-4B177C VER-INF-TEST-LOAD_TEST-A58EB3 VER-INF-TEST-SCHEMA_TEST-AB1606,,
REQ-EMG-053,implemented,FU-AIRBORNE-ASSURANCE-EXPORTER FU-MODEL-LOADER FU-VALIDATION-ENGINE,model/aviation.go:11 model/authoring.go:52 airborne_assurance.go:51 model/load.go:43 model/aviation.go:301 model/load.go:18 model/aviation_test.go:12 airborne_assurance_test.go:45 airborne_assurance_test.go:15 model/load_test.go:171 model/schema.go:32,VER-INF-TEST-AIRBORNE_ASSURANCE_TEST-E46ECA VER-INF-TEST-AVIATION_TEST-42E2CB VER-INF-TEST-LOAD_TEST-A58EB3,,
REQ-EMG-054,implemented,FU-AIRBORNE-ASSURANCE-EXPORTER FU-VALIDATION-ENGINE,model/aviation.go:11 model/aviation.go:740 model/aviation.go:268 airborne_assurance.go:51 model/aviation.go:730 model/load.go:43 model/aviation_test.go:12 model/aviation_test.go:31 model/aviation.go:311 model/schema.go:32 model/aviation_test.go:69,VER-INF-TEST-AVIATION_TEST-42E2CB,,
REQ-EMG-055,implemented,FU-AIRBORNE-ASSURANCE-EXPORTER FU-CLI-ORCHESTRATION,airborne_assurance.go:123 airborne_assurance.go:104 airborne_assurance.go:51 airborne_assurance.go:215 model/aviation.go:750 cmd/engair/main.go:18 model/aviation.go:755 airborne_assurance.go:171 airborne_assurance.go:254 airborne_assurance.go:227 model/aviation.go:301 airborne_assurance.go:206 airborne_assurance.go:180 airborne_assurance.go:259 airborne_assurance_test.go:53 airborne_assurance_test.go:45 airborne_assurance_test.go:15,VER-INF-TEST-AIRBORNE_ASSURANCE_TEST-E46ECA,,
